epoch,lr-SGD,step,train_bbox_regression_epoch,train_bbox_regression_step,train_classification_epoch,train_classification_step,train_loss_epoch,train_loss_step,val_bbox_regression,val_classification,val_loss
,0.001,0,,,,,,,,,
0,,49,,0.642271876335144,,1.1263949871063232,,1.7686668634414673,,,
0,,99,,0.580359160900116,,1.1030824184417725,,1.6834416389465332,,,
0,,104,,,,,,,0.6153658628463745,1.095245361328125,1.7106112241744995
0,,104,0.6924271583557129,,1.1266165971755981,,1.8190439939498901,,,,
,0.001,105,,,,,,,,,
1,,149,,0.5887668132781982,,0.9315473437309265,,1.5203142166137695,,,
1,,199,,0.6665687561035156,,1.117002010345459,,1.7835707664489746,,,
1,,209,,,,,,,0.5996463298797607,1.118102788925171,1.7177491188049316
1,,209,0.6273429989814758,,0.9735956192016602,,1.6009384393692017,,,,
,0.001,210,,,,,,,,,
2,,249,,0.6222341656684875,,1.1162123680114746,,1.7384464740753174,,,
2,,299,,0.6794893741607666,,1.1200411319732666,,1.7995305061340332,,,
2,,314,,,,,,,0.578250527381897,1.1032640933990479,1.6815145015716553
2,,314,0.6065245270729065,,1.1135133504867554,,1.720037579536438,,,,
,0.001,315,,,,,,,,,
3,,349,,0.5831644535064697,,1.0962867736816406,,1.6794512271881104,,,
3,,399,,0.5431687831878662,,0.8844487071037292,,1.4276175498962402,,,
3,,419,,,,,,,0.6247576475143433,1.1009483337402344,1.7257057428359985
3,,419,0.5856448411941528,,1.0869202613830566,,1.6725651025772095,,,,
,0.001,420,,,,,,,,,
4,,449,,0.6308369040489197,,1.113093614578247,,1.7439305782318115,,,
4,,499,,0.47234058380126953,,1.0909829139709473,,1.5633234977722168,,,
4,,524,,,,,,,0.550349235534668,1.0905553102493286,1.6409043073654175
4,,524,0.5819897055625916,,1.0996233224868774,,1.6816129684448242,,,,
,0.001,525,,,,,,,,,
5,,549,,0.5062545537948608,,1.086411714553833,,1.5926662683486938,,,
5,,599,,0.42808645963668823,,1.2026474475860596,,1.6307339668273926,,,
5,,629,,,,,,,0.5142410397529602,1.0781371593475342,1.5923781394958496
5,,629,0.5335946679115295,,1.0879017114639282,,1.6214969158172607,,,,
,0.001,630,,,,,,,,,
6,,649,,0.5846474170684814,,1.1032559871673584,,1.6879034042358398,,,
6,,699,,0.4637279808521271,,1.0692729949951172,,1.5330009460449219,,,
6,,734,,,,,,,0.48033085465431213,1.0632224082946777,1.543553113937378
6,,734,0.4819599986076355,,1.0747463703155518,,1.5567069053649902,,,,
,0.001,735,,,,,,,,,
7,,749,,0.4105953574180603,,1.0515995025634766,,1.4621949195861816,,,
7,,799,,0.40598076581954956,,1.0483886003494263,,1.454369306564331,,,
7,,839,,,,,,,0.43827366828918457,1.0390958786010742,1.4773694276809692
7,,839,0.45116519927978516,,1.057202696800232,,1.5083675384521484,,,,
,0.001,840,,,,,,,,,
8,,849,,0.4003591537475586,,1.029581069946289,,1.4299402236938477,,,
8,,899,,0.46022242307662964,,0.9691879749298096,,1.429410457611084,,,
8,,944,,,,,,,0.4100371301174164,0.3967081606388092,0.8067452907562256
8,,944,0.4240380525588989,,0.8298710584640503,,1.2539089918136597,,,,
,0.001,945,,,,,,,,,
9,,949,,0.3755582571029663,,0.3032805323600769,,0.6788387894630432,,,
9,,999,,0.4649876356124878,,0.3972001075744629,,0.8621877431869507,,,
9,,1049,,0.3248952627182007,,0.2613244652748108,,0.5862197279930115,,,
9,,1049,,,,,,,0.3779013752937317,0.36081457138061523,0.7387160062789917
9,,1049,0.4164623022079468,,0.437008261680603,,0.8534708619117737,,,,
